color,fullpath,length
Navy and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-104.mp4,4.447
Purple and Malibu,temp_clips\Baby_Im_Back_IV\Scene-105.mp4,0.845
Purple and DeepSkyBlue,temp_clips\Baby_Im_Back_IV\Scene-106.mp4,4.005
Navy and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-107.mp4,1.347
Purple and Green,temp_clips\Baby_Im_Back_IV\Scene-108.mp4,1.709
Purple and DeepSkyBlue,temp_clips\Baby_Im_Back_IV\Scene-109.mp4,2.537
Navy and Black,temp_clips\Baby_Im_Back_IV\Scene-110.mp4,1.116
Purple and Black,temp_clips\Baby_Im_Back_IV\Scene-111.mp4,5.356
Navy and Black,temp_clips\Baby_Im_Back_IV\Scene-112.mp4,1.99
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-113.mp4,1.787
Purple and Green,temp_clips\Baby_Im_Back_IV\Scene-114.mp4,1.62
Gray and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-115.mp4,5.36
Teal and Gray,temp_clips\Baby_Im_Back_IV\Scene-116.mp4,4.316
Gray and White,temp_clips\Baby_Im_Back_IV\Scene-117.mp4,3.96
Gray and MintGreen,temp_clips\Baby_Im_Back_IV\Scene-118.mp4,1.508
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-119.mp4,4.094
Blue and Chartreuse,temp_clips\Baby_Im_Back_IV\Scene-120.mp4,1.137
Blue and Cyan,temp_clips\Baby_Im_Back_IV\Scene-121.mp4,4.856
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-122.mp4,3.825
Cyan and Fuchsia,temp_clips\Baby_Im_Back_IV\Scene-123.mp4,1.508
White and Cyan,temp_clips\Baby_Im_Back_IV\Scene-124.mp4,4.581
Cyan and Blue,temp_clips\Baby_Im_Back_IV\Scene-125.mp4,5.048
Black and Anakiwa,temp_clips\Baby_Im_Back_IV\Scene-126.mp4,5.351
Blue and Lime,temp_clips\Baby_Im_Back_IV\Scene-127.mp4,5.353
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-128.mp4,2.591
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-129.mp4,2.785
Purple and Green,temp_clips\Baby_Im_Back_IV\Scene-130.mp4,3.313
Teal and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-131.mp4,2.053
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-132.mp4,2.642
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-133.mp4,2.722
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-134.mp4,3.479
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-135.mp4,1.89
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-136.mp4,3.25
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-137.mp4,2.102
Black and Purple,temp_clips\Baby_Im_Back_IV\Scene-138.mp4,1.185
Purple and Olive,temp_clips\Baby_Im_Back_IV\Scene-139.mp4,4.173
Navy and Black,temp_clips\Baby_Im_Back_IV\Scene-140.mp4,4.785
Navy and Black,temp_clips\Baby_Im_Back_IV\Scene-141.mp4,0.572
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-142.mp4,5.345
Purple and Green,temp_clips\Baby_Im_Back_IV\Scene-143.mp4,3.025
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-144.mp4,2.344
Purple and Malibu,temp_clips\Baby_Im_Back_IV\Scene-145.mp4,5.348
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-146.mp4,3.052
Purple and Teal,temp_clips\Baby_Im_Back_IV\Scene-147.mp4,1.455
Anakiwa and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-148.mp4,1.25
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-149.mp4,3.917
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-150.mp4,2.707
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-151.mp4,2.651
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-152.mp4,5.356
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-153.mp4,5.358
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-154.mp4,5.36
DarkRed and Navy,temp_clips\Baby_Im_Back_IV\Scene-155.mp4,4.34
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-156.mp4,1.024
Black and Green,temp_clips\Baby_Im_Back_IV\Scene-157.mp4,0.836
Black and Red,temp_clips\Baby_Im_Back_IV\Scene-158.mp4,3.182
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-159.mp4,0.919
Navy and Cyan,temp_clips\Baby_Im_Back_IV\Scene-160.mp4,1.945
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-161.mp4,3.422
Black,temp_clips\Baby_Im_Back_IV\Scene-162.mp4,3.34
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-163.mp4,1.442
Black,temp_clips\Baby_Im_Back_IV\Scene-164.mp4,4.188
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-165.mp4,3.639
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-166.mp4,0.652
Black,temp_clips\Baby_Im_Back_IV\Scene-167.mp4,2.503
Black,temp_clips\Baby_Im_Back_IV\Scene-168.mp4,1.718
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-169.mp4,0.946
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-170.mp4,0.986
Black and Teal,temp_clips\Baby_Im_Back_IV\Scene-171.mp4,2.272
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-172.mp4,1.814
Anakiwa and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-173.mp4,3.541
Anakiwa and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-174.mp4,1.722
Gray and Violet,temp_clips\Baby_Im_Back_IV\Scene-175.mp4,0.113
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-176.mp4,3.752
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-177.mp4,1.617
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-178.mp4,1.781
Gray and Teal,temp_clips\Baby_Im_Back_IV\Scene-179.mp4,2.38
Black and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-180.mp4,1.219
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-181.mp4,2.641
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-182.mp4,2.443
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-183.mp4,1.076
Dolly and DeepSkyBlue,temp_clips\Baby_Im_Back_IV\Scene-184.mp4,4.026
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-185.mp4,4.526
Navy,temp_clips\Baby_Im_Back_IV\Scene-186.mp4,0.834
SpringGreen,temp_clips\Baby_Im_Back_IV\Scene-187.mp4,2.949
Gray and White,temp_clips\Baby_Im_Back_IV\Scene-188.mp4,2.405
Navy,temp_clips\Baby_Im_Back_IV\Scene-189.mp4,1.65
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-190.mp4,2.569
White and Malibu,temp_clips\Baby_Im_Back_IV\Scene-191.mp4,1.138
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-192.mp4,3.487
Black,temp_clips\Baby_Im_Back_IV\Scene-193.mp4,1.874
Black and Anakiwa,temp_clips\Baby_Im_Back_IV\Scene-194.mp4,1.817
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-195.mp4,3.544
DarkRed and Teal,temp_clips\Baby_Im_Back_IV\Scene-196.mp4,1.54
Olive,temp_clips\Baby_Im_Back_IV\Scene-197.mp4,0.934
Black,temp_clips\Baby_Im_Back_IV\Scene-198.mp4,3.018
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-199.mp4,0.851
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-200.mp4,2.409
White and Green,temp_clips\Baby_Im_Back_IV\Scene-201.mp4,1.981
Black and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-202.mp4,5.352
Teal and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-203.mp4,5.354
Navy and DeepSkyBlue,temp_clips\Baby_Im_Back_IV\Scene-204.mp4,5.356
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-205.mp4,3.407
Black,temp_clips\Baby_Im_Back_IV\Scene-206.mp4,1.955
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-207.mp4,3.177
Black,temp_clips\Baby_Im_Back_IV\Scene-208.mp4,2.19
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-209.mp4,3.272
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-210.mp4,1.21
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-211.mp4,1.68
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-212.mp4,1.707
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-213.mp4,1.769
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-214.mp4,3.252
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-215.mp4,1.455
Teal and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-216.mp4,0.717
Navy and Green,temp_clips\Baby_Im_Back_IV\Scene-217.mp4,2.571
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-218.mp4,1.046
Gray and Malibu,temp_clips\Baby_Im_Back_IV\Scene-219.mp4,1.614
Black and Cyan,temp_clips\Baby_Im_Back_IV\Scene-220.mp4,4.587
Black,temp_clips\Baby_Im_Back_IV\Scene-221.mp4,0.875
Teal and Black,temp_clips\Baby_Im_Back_IV\Scene-222.mp4,2.143
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-223.mp4,2.911
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-224.mp4,4.605
Anakiwa and Pink,temp_clips\Baby_Im_Back_IV\Scene-225.mp4,0.534
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-226.mp4,5.248
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-227.mp4,5.42
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-228.mp4,1.686
