color,fullpath,length
Olive and Navy,temp_clips\Knocking_Down_the_Fences\Scene-033.mp4,2.875
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-034.mp4,5.346
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-035.mp4,2.515
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-036.mp4,2.845
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-037.mp4,3.144
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-038.mp4,2.213
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-039.mp4,0.104
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-040.mp4,2.581
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-041.mp4,4.587
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-042.mp4,2.708
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-043.mp4,2.676
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-044.mp4,1.585
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-045.mp4,1.503
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-046.mp4,4.995
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-047.mp4,10.449
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-048.mp4,6.088
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-049.mp4,15.899
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-050.mp4,9.513
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-051.mp4,1.512
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-052.mp4,3.355
Navy and Olive,temp_clips\Knocking_Down_the_Fences\Scene-053.mp4,2.014
Navy and Olive,temp_clips\Knocking_Down_the_Fences\Scene-054.mp4,2.474
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-055.mp4,2.884
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-056.mp4,4.125
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-057.mp4,1.252
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-058.mp4,5.357
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-059.mp4,0.738
Navy and Green,temp_clips\Knocking_Down_the_Fences\Scene-060.mp4,4.625
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-061.mp4,3.318
DarkRed and Black,temp_clips\Knocking_Down_the_Fences\Scene-062.mp4,2.057
DarkRed and Black,temp_clips\Knocking_Down_the_Fences\Scene-063.mp4,1.091
Navy and Olive,temp_clips\Knocking_Down_the_Fences\Scene-064.mp4,4.272
Navy and Olive,temp_clips\Knocking_Down_the_Fences\Scene-065.mp4,1.649
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-066.mp4,3.706
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-067.mp4,5.344
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-068.mp4,5.346
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-069.mp4,2.491
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-070.mp4,2.878
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-071.mp4,5.35
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-072.mp4,5.351
Gray and White,temp_clips\Knocking_Down_the_Fences\Scene-073.mp4,2.52
Gray,temp_clips\Knocking_Down_the_Fences\Scene-074.mp4,2.085
Gray and Purple,temp_clips\Knocking_Down_the_Fences\Scene-075.mp4,0.782
Gray and Purple,temp_clips\Knocking_Down_the_Fences\Scene-076.mp4,4.427
Gray,temp_clips\Knocking_Down_the_Fences\Scene-077.mp4,0.951
Gray and White,temp_clips\Knocking_Down_the_Fences\Scene-078.mp4,2.269
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-079.mp4,3.088
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-080.mp4,0.436
Gray and Teal,temp_clips\Knocking_Down_the_Fences\Scene-081.mp4,4.926
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-082.mp4,1.112
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-083.mp4,4.26
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-084.mp4,5.34
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-085.mp4,1.835
Cyan and LightCoral,temp_clips\Knocking_Down_the_Fences\Scene-086.mp4,3.506
Cyan and LightCoral,temp_clips\Knocking_Down_the_Fences\Scene-087.mp4,3.138
Black and White,temp_clips\Knocking_Down_the_Fences\Scene-088.mp4,2.207
Black and White,temp_clips\Knocking_Down_the_Fences\Scene-089.mp4,1.235
Gray and LightCoral,temp_clips\Knocking_Down_the_Fences\Scene-090.mp4,4.11
Gray and Olive,temp_clips\Knocking_Down_the_Fences\Scene-091.mp4,0.935
Gray and Teal,temp_clips\Knocking_Down_the_Fences\Scene-092.mp4,3.159
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-093.mp4,1.277
Gray and Navy,temp_clips\Knocking_Down_the_Fences\Scene-094.mp4,4.351
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-095.mp4,1.012
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-096.mp4,5.351
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-097.mp4,5.353
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-098.mp4,0.502
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-099.mp4,2.486
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-100.mp4,9.026
Gray and Teal,temp_clips\Knocking_Down_the_Fences\Scene-101.mp4,11.186
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-102.mp4,5.558
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-103.mp4,3.478
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-104.mp4,1.611
Gray and Purple,temp_clips\Knocking_Down_the_Fences\Scene-105.mp4,3.516
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-106.mp4,0.105
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-107.mp4,1.607
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-108.mp4,3.023
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-109.mp4,0.74
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-110.mp4,2.955
Black and LightCoral,temp_clips\Knocking_Down_the_Fences\Scene-111.mp4,1.645
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-112.mp4,0.776
Black and Navy,temp_clips\Knocking_Down_the_Fences\Scene-113.mp4,4.281
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-114.mp4,1.078
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-115.mp4,1.636
Teal and Gray,temp_clips\Knocking_Down_the_Fences\Scene-116.mp4,1.882
Black and Green,temp_clips\Knocking_Down_the_Fences\Scene-117.mp4,1.94
Black and Green,temp_clips\Knocking_Down_the_Fences\Scene-118.mp4,5.16
Black and Green,temp_clips\Knocking_Down_the_Fences\Scene-119.mp4,6.361
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-120.mp4,5.013
Gray and Teal,temp_clips\Knocking_Down_the_Fences\Scene-121.mp4,5.906
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-122.mp4,6.014
Black,temp_clips\Knocking_Down_the_Fences\Scene-123.mp4,5.14
Malibu and Navy,temp_clips\Knocking_Down_the_Fences\Scene-124.mp4,5.156
Anakiwa and Gray,temp_clips\Knocking_Down_the_Fences\Scene-125.mp4,3.013
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-126.mp4,7.022
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-127.mp4,8.514
Teal and Green,temp_clips\Knocking_Down_the_Fences\Scene-128.mp4,4.278
Teal and Pink,temp_clips\Knocking_Down_the_Fences\Scene-129.mp4,0.681
Gray and Navy,temp_clips\Knocking_Down_the_Fences\Scene-130.mp4,7.907
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-131.mp4,22.965
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-132.mp4,12.5
Black,temp_clips\Knocking_Down_the_Fences\Scene-133.mp4,2.877
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-134.mp4,9.946
Navy and Yellow,temp_clips\Knocking_Down_the_Fences\Scene-135.mp4,6.759
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-136.mp4,4.617
Navy and Yellow,temp_clips\Knocking_Down_the_Fences\Scene-137.mp4,3.751
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-138.mp4,0.479
Dolly and Malibu,temp_clips\Knocking_Down_the_Fences\Scene-139.mp4,2.891
White and Dolly,temp_clips\Knocking_Down_the_Fences\Scene-140.mp4,2.413
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-141.mp4,7.348
Dolly and Fuchsia,temp_clips\Knocking_Down_the_Fences\Scene-142.mp4,3.212
MintGreen and LightCoral,temp_clips\Knocking_Down_the_Fences\Scene-143.mp4,3.654
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-144.mp4,13.136
Gray,temp_clips\Knocking_Down_the_Fences\Scene-145.mp4,13.816
Gray and Chartreuse,temp_clips\Knocking_Down_the_Fences\Scene-146.mp4,2.881
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-147.mp4,14.361
Black and Teal,temp_clips\Knocking_Down_the_Fences\Scene-148.mp4,9.325
Purple and Green,temp_clips\Knocking_Down_the_Fences\Scene-149.mp4,4.822
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-150.mp4,4.314
Black and Teal,temp_clips\Knocking_Down_the_Fences\Scene-151.mp4,13.616
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-152.mp4,5.343
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-153.mp4,47.489
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-154.mp4,14.149
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-155.mp4,4.948
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-156.mp4,7.114
White and Cyan,temp_clips\Knocking_Down_the_Fences\Scene-157.mp4,15.1
