color,fullpath,length
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-030.mp4,5.305
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-031.mp4,5.349
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-032.mp4,4.932
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-033.mp4,5.097
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-034.mp4,5.348
DarkRed and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-035.mp4,5.351
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-036.mp4,5.352
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-037.mp4,5.354
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-038.mp4,4.939
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-039.mp4,5.102
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-040.mp4,5.354
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-041.mp4,5.356
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-042.mp4,5.056
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-043.mp4,5.466
Black and Navy,temp_clips\Kitbull___Pixar_SparkShorts\Scene-044.mp4,5.482
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-045.mp4,5.312
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-046.mp4,5.426
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-047.mp4,5.344
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-048.mp4,5.346
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-049.mp4,5.348
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-050.mp4,4.769
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-051.mp4,4.844
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-052.mp4,4.139
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-053.mp4,5.467
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-054.mp4,5.483
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-055.mp4,5.383
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-056.mp4,5.343
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-057.mp4,5.345
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-058.mp4,5.487
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-059.mp4,4.899
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-060.mp4,5.011
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-061.mp4,5.347
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-062.mp4,5.349
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-063.mp4,4.515
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-064.mp4,5.467
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-065.mp4,5.39
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-066.mp4,5.35
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-067.mp4,5.352
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-068.mp4,5.355
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-069.mp4,5.356
Black and Yellow,temp_clips\Kitbull___Pixar_SparkShorts\Scene-070.mp4,5.358
Black and Olive,temp_clips\Kitbull___Pixar_SparkShorts\Scene-071.mp4,4.269
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-072.mp4,4.356
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-073.mp4,4.64
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-074.mp4,4.979
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-075.mp4,5.194
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-076.mp4,5.479
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-077.mp4,5.216
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-078.mp4,4.601
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-079.mp4,5.214
Teal and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-080.mp4,5.48
Teal and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-081.mp4,4.683
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-082.mp4,5.422
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-083.mp4,5.341
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-084.mp4,5.342
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-085.mp4,4.068
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-086.mp4,4.852
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-087.mp4,4.008
Green and Purple,temp_clips\Kitbull___Pixar_SparkShorts\Scene-088.mp4,5.135
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-089.mp4,5.346
Black and Green,temp_clips\Kitbull___Pixar_SparkShorts\Scene-090.mp4,5.347
Green and Purple,temp_clips\Kitbull___Pixar_SparkShorts\Scene-091.mp4,4.467
Green and Navy,temp_clips\Kitbull___Pixar_SparkShorts\Scene-092.mp4,4.556
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-093.mp4,5.465
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-094.mp4,4.019
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-095.mp4,5.472
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-096.mp4,5.14
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-097.mp4,4.352
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-098.mp4,5.308
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-099.mp4,5.352
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-100.mp4,4.517
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-101.mp4,5.47
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-102.mp4,5.486
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-103.mp4,4.132
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-104.mp4,5.134
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-105.mp4,5.02
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-106.mp4,4.264
