fullpath,length,objects
temp_clips\Baby_Im_Back_IV\Scene-055.mp4,4.014,[]
temp_clips\Baby_Im_Back_IV\Scene-056.mp4,0.916,[]
temp_clips\Baby_Im_Back_IV\Scene-057.mp4,5.216,['person']
temp_clips\Baby_Im_Back_IV\Scene-058.mp4,0.104,[]
temp_clips\Baby_Im_Back_IV\Scene-059.mp4,5.344,['bird']
temp_clips\Baby_Im_Back_IV\Scene-060.mp4,5.346,['bird']
temp_clips\Baby_Im_Back_IV\Scene-061.mp4,5.347,[]
temp_clips\Baby_Im_Back_IV\Scene-062.mp4,4.839,[]
temp_clips\Baby_Im_Back_IV\Scene-063.mp4,0.512,[]
temp_clips\Baby_Im_Back_IV\Scene-064.mp4,5.352,[]
temp_clips\Baby_Im_Back_IV\Scene-065.mp4,3.008,[]
temp_clips\Baby_Im_Back_IV\Scene-066.mp4,0.911,[]
temp_clips\Baby_Im_Back_IV\Scene-067.mp4,1.288,['train']
temp_clips\Baby_Im_Back_IV\Scene-068.mp4,2.713,"['cell phone', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']"
temp_clips\Baby_Im_Back_IV\Scene-069.mp4,0.846,"['vase', 'person', 'chair', 'microwave', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-070.mp4,1.939,"['handbag', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'backpack', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-071.mp4,3.742,"['bowl', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'bottle', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-072.mp4,1.352,['car']
temp_clips\Baby_Im_Back_IV\Scene-073.mp4,3.384,['person']
temp_clips\Baby_Im_Back_IV\Scene-074.mp4,1.756,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-075.mp4,5.362,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-076.mp4,4.179,[]
temp_clips\Baby_Im_Back_IV\Scene-077.mp4,5.441,['person']
temp_clips\Baby_Im_Back_IV\Scene-078.mp4,5.389,[]
temp_clips\Baby_Im_Back_IV\Scene-079.mp4,3.106,"['remote', 'tie']"
temp_clips\Baby_Im_Back_IV\Scene-080.mp4,2.209,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-081.mp4,3.606,['person']
temp_clips\Baby_Im_Back_IV\Scene-082.mp4,1.743,[]
temp_clips\Baby_Im_Back_IV\Scene-083.mp4,5.349,[]
temp_clips\Baby_Im_Back_IV\Scene-084.mp4,4.144,['person']
temp_clips\Baby_Im_Back_IV\Scene-085.mp4,0.215,['person']
temp_clips\Baby_Im_Back_IV\Scene-086.mp4,3.242,['person']
temp_clips\Baby_Im_Back_IV\Scene-087.mp4,1.91,[]
temp_clips\Baby_Im_Back_IV\Scene-088.mp4,5.488,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-089.mp4,5.356,['vase']
temp_clips\Baby_Im_Back_IV\Scene-090.mp4,3.222,[]
temp_clips\Baby_Im_Back_IV\Scene-091.mp4,2.156,['car']
temp_clips\Baby_Im_Back_IV\Scene-092.mp4,4.083,"['horse', 'car', 'car', 'car', 'car', 'truck', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-093.mp4,2.055,"['horse', 'person', 'car']"
temp_clips\Baby_Im_Back_IV\Scene-094.mp4,3.085,[]
temp_clips\Baby_Im_Back_IV\Scene-095.mp4,0.178,['aeroplane']
temp_clips\Baby_Im_Back_IV\Scene-096.mp4,5.444,['cake']
temp_clips\Baby_Im_Back_IV\Scene-097.mp4,2.654,[]
temp_clips\Baby_Im_Back_IV\Scene-098.mp4,2.85,['toothbrush']
temp_clips\Baby_Im_Back_IV\Scene-099.mp4,1.152,['umbrella']
temp_clips\Baby_Im_Back_IV\Scene-100.mp4,4.22,['toothbrush']
temp_clips\Baby_Im_Back_IV\Scene-101.mp4,5.38,"['laptop', 'chair', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-102.mp4,2.91,['person']
temp_clips\Baby_Im_Back_IV\Scene-103.mp4,1.447,"['laptop', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-104.mp4,4.447,['person']
temp_clips\Baby_Im_Back_IV\Scene-105.mp4,0.845,[]
temp_clips\Baby_Im_Back_IV\Scene-106.mp4,4.005,[]
temp_clips\Baby_Im_Back_IV\Scene-107.mp4,1.347,"['person', 'donut']"
temp_clips\Baby_Im_Back_IV\Scene-108.mp4,1.709,['person']
temp_clips\Baby_Im_Back_IV\Scene-109.mp4,2.537,['person']
temp_clips\Baby_Im_Back_IV\Scene-110.mp4,1.116,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-111.mp4,5.356,"['remote', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'handbag']"
temp_clips\Baby_Im_Back_IV\Scene-112.mp4,1.99,"['umbrella', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-113.mp4,1.787,[]
temp_clips\Baby_Im_Back_IV\Scene-114.mp4,1.62,[]
temp_clips\Baby_Im_Back_IV\Scene-115.mp4,5.36,[]
temp_clips\Baby_Im_Back_IV\Scene-116.mp4,4.316,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-117.mp4,3.96,['person']
temp_clips\Baby_Im_Back_IV\Scene-118.mp4,1.508,['person']
temp_clips\Baby_Im_Back_IV\Scene-119.mp4,4.094,['person']
temp_clips\Baby_Im_Back_IV\Scene-120.mp4,1.137,"['umbrella', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-121.mp4,4.856,"['bottle', 'dog', 'dog', 'person', 'person', 'person', 'bench']"
temp_clips\Baby_Im_Back_IV\Scene-122.mp4,3.825,"['dog', 'dog', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-123.mp4,1.508,"['dog', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-124.mp4,4.581,"['dog', 'dog']"
temp_clips\Baby_Im_Back_IV\Scene-125.mp4,5.048,"['mouse', 'chair', 'chair', 'cat', 'chair', 'chair', 'bottle', 'cat', 'dog']"
temp_clips\Baby_Im_Back_IV\Scene-126.mp4,5.351,"['cup', 'dog', 'cat', 'dog']"
temp_clips\Baby_Im_Back_IV\Scene-127.mp4,5.353,"['dog', 'cat', 'person', 'cat']"
temp_clips\Baby_Im_Back_IV\Scene-128.mp4,2.591,"['cell phone', 'person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-129.mp4,2.785,"['person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-130.mp4,3.313,"['bicycle', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-131.mp4,2.053,"['person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-132.mp4,2.642,"['surfboard', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-133.mp4,2.722,['person']
temp_clips\Baby_Im_Back_IV\Scene-134.mp4,3.479,"['bicycle', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-135.mp4,1.89,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-136.mp4,3.25,"['person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-137.mp4,2.102,"['person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-138.mp4,1.185,"['person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-139.mp4,4.173,['car']
temp_clips\Baby_Im_Back_IV\Scene-140.mp4,4.785,"['bottle', 'person', 'person', 'dog', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-141.mp4,0.572,['person']
temp_clips\Baby_Im_Back_IV\Scene-142.mp4,5.345,"['sheep', 'person', 'dog']"
temp_clips\Baby_Im_Back_IV\Scene-143.mp4,3.025,"['sheep', 'person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-144.mp4,2.344,"['bird', 'bird', 'bird']"
temp_clips\Baby_Im_Back_IV\Scene-145.mp4,5.348,"['horse', 'person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-146.mp4,3.052,"['sheep', 'dog', 'person', 'person', 'car', 'person', 'person', 'person', 'person', 'car']"
temp_clips\Baby_Im_Back_IV\Scene-147.mp4,1.455,"['person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-148.mp4,1.25,"['person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-149.mp4,3.917,[]
temp_clips\Baby_Im_Back_IV\Scene-150.mp4,2.707,['person']
temp_clips\Baby_Im_Back_IV\Scene-151.mp4,2.651,['person']
temp_clips\Baby_Im_Back_IV\Scene-152.mp4,5.356,['keyboard']
temp_clips\Baby_Im_Back_IV\Scene-153.mp4,5.358,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-154.mp4,5.36,[]
temp_clips\Baby_Im_Back_IV\Scene-155.mp4,4.34,[]
temp_clips\Baby_Im_Back_IV\Scene-156.mp4,1.024,"['person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-157.mp4,0.836,[]
temp_clips\Baby_Im_Back_IV\Scene-158.mp4,3.182,['frisbee']
temp_clips\Baby_Im_Back_IV\Scene-159.mp4,0.919,['person']
temp_clips\Baby_Im_Back_IV\Scene-160.mp4,1.945,"['frisbee', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-161.mp4,3.422,[]
temp_clips\Baby_Im_Back_IV\Scene-162.mp4,3.34,['cat']
temp_clips\Baby_Im_Back_IV\Scene-163.mp4,1.442,['person']
temp_clips\Baby_Im_Back_IV\Scene-164.mp4,4.188,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-165.mp4,3.639,"['teddy bear', 'teddy bear', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-166.mp4,0.652,['person']
temp_clips\Baby_Im_Back_IV\Scene-167.mp4,2.503,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-168.mp4,1.718,['clock']
temp_clips\Baby_Im_Back_IV\Scene-169.mp4,0.946,"['car', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-170.mp4,0.986,"['person', 'car']"
temp_clips\Baby_Im_Back_IV\Scene-171.mp4,2.272,"['parking meter', 'tvmonitor', 'tvmonitor']"
temp_clips\Baby_Im_Back_IV\Scene-172.mp4,1.814,['parking meter']
temp_clips\Baby_Im_Back_IV\Scene-173.mp4,3.541,"['oven', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-174.mp4,1.722,['person']
temp_clips\Baby_Im_Back_IV\Scene-175.mp4,0.113,[]
temp_clips\Baby_Im_Back_IV\Scene-176.mp4,3.752,[]
temp_clips\Baby_Im_Back_IV\Scene-177.mp4,1.617,"['sofa', 'chair', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-178.mp4,1.781,"['person', 'car']"
temp_clips\Baby_Im_Back_IV\Scene-179.mp4,2.38,"['tvmonitor', 'pottedplant', 'sofa', 'sofa', 'chair', 'chair', 'chair', 'sofa', 'pottedplant']"
temp_clips\Baby_Im_Back_IV\Scene-180.mp4,1.219,['sofa']
temp_clips\Baby_Im_Back_IV\Scene-181.mp4,2.641,['person']
temp_clips\Baby_Im_Back_IV\Scene-182.mp4,2.443,"['tie', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-183.mp4,1.076,"['laptop', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'motorbike', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-184.mp4,4.026,[]
temp_clips\Baby_Im_Back_IV\Scene-185.mp4,4.526,"['person', 'frisbee', 'umbrella']"
temp_clips\Baby_Im_Back_IV\Scene-186.mp4,0.834,['cow']
temp_clips\Baby_Im_Back_IV\Scene-187.mp4,2.949,['bird']
temp_clips\Baby_Im_Back_IV\Scene-188.mp4,2.405,['bird']
temp_clips\Baby_Im_Back_IV\Scene-189.mp4,1.65,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-190.mp4,2.569,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-191.mp4,1.138,[]
temp_clips\Baby_Im_Back_IV\Scene-192.mp4,3.487,"['car', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-193.mp4,1.874,['car']
temp_clips\Baby_Im_Back_IV\Scene-194.mp4,1.817,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-195.mp4,3.544,"['person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-196.mp4,1.54,"['sports ball', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-197.mp4,0.934,[]
temp_clips\Baby_Im_Back_IV\Scene-198.mp4,3.018,"['car', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-199.mp4,0.851,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-200.mp4,2.409,"['person', 'bench', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-201.mp4,1.981,[]
temp_clips\Baby_Im_Back_IV\Scene-202.mp4,5.352,"['teddy bear', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-203.mp4,5.354,"['clock', 'person', 'sports ball', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-204.mp4,5.356,"['clock', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-205.mp4,3.407,"['tie', 'toothbrush', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-206.mp4,1.955,[]
temp_clips\Baby_Im_Back_IV\Scene-207.mp4,3.177,"['person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-208.mp4,2.19,"['person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-209.mp4,3.272,[]
temp_clips\Baby_Im_Back_IV\Scene-210.mp4,1.21,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-211.mp4,1.68,"['car', 'truck', 'car', 'car', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-212.mp4,1.707,['motorbike']
temp_clips\Baby_Im_Back_IV\Scene-213.mp4,1.769,"['person', 'car']"
temp_clips\Baby_Im_Back_IV\Scene-214.mp4,3.252,"['person', 'car']"
temp_clips\Baby_Im_Back_IV\Scene-215.mp4,1.455,['person']
temp_clips\Baby_Im_Back_IV\Scene-216.mp4,0.717,['person']
temp_clips\Baby_Im_Back_IV\Scene-217.mp4,2.571,['person']
temp_clips\Baby_Im_Back_IV\Scene-218.mp4,1.046,[]
temp_clips\Baby_Im_Back_IV\Scene-219.mp4,1.614,"['bicycle', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-220.mp4,4.587,['person']
temp_clips\Baby_Im_Back_IV\Scene-221.mp4,0.875,['person']
temp_clips\Baby_Im_Back_IV\Scene-222.mp4,2.143,['person']
temp_clips\Baby_Im_Back_IV\Scene-223.mp4,2.911,"['sink', 'sink', 'toilet', 'toilet', 'toilet']"
temp_clips\Baby_Im_Back_IV\Scene-224.mp4,4.605,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-225.mp4,0.534,['vase']
temp_clips\Baby_Im_Back_IV\Scene-226.mp4,5.248,[]
temp_clips\Baby_Im_Back_IV\Scene-227.mp4,5.42,[]
temp_clips\Baby_Im_Back_IV\Scene-228.mp4,1.686,[]
