color,fullpath,length
Navy and Green,temp_clips\TRUMAN SHOW HR\Scene-053.mp4,2.022
Navy and Green,temp_clips\TRUMAN SHOW HR\Scene-054.mp4,2.004
Navy and Green,temp_clips\TRUMAN SHOW HR\Scene-055.mp4,4.013
Navy and Green,temp_clips\TRUMAN SHOW HR\Scene-056.mp4,4.02
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-057.mp4,2.021
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-058.mp4,2.003
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-059.mp4,2.006
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-060.mp4,2.01
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-061.mp4,2.013
Black,temp_clips\TRUMAN SHOW HR\Scene-062.mp4,2.016
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-063.mp4,2.02
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-064.mp4,2.023
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-065.mp4,2.005
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-066.mp4,2.008
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-067.mp4,2.012
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-068.mp4,2.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-069.mp4,2.018
Black,temp_clips\TRUMAN SHOW HR\Scene-070.mp4,2.022
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-071.mp4,2.004
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-072.mp4,2.007
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-073.mp4,2.01
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-074.mp4,2.014
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-075.mp4,2.017
Black and Green,temp_clips\TRUMAN SHOW HR\Scene-076.mp4,2.02
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-077.mp4,2.003
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-078.mp4,2.006
Black,temp_clips\TRUMAN SHOW HR\Scene-079.mp4,2.009
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-080.mp4,2.012
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-081.mp4,2.016
Black,temp_clips\TRUMAN SHOW HR\Scene-082.mp4,2.019
Black,temp_clips\TRUMAN SHOW HR\Scene-083.mp4,2.022
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-084.mp4,2.004
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-085.mp4,2.008
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-086.mp4,2.011
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-087.mp4,2.014
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-088.mp4,2.018
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-089.mp4,2.021
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-090.mp4,2.003
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-091.mp4,2.006
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-092.mp4,2.01
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-093.mp4,2.013
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-094.mp4,2.016
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-095.mp4,2.02
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-096.mp4,2.023
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-097.mp4,4.01
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-098.mp4,2.012
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-099.mp4,2.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-100.mp4,2.018
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-1000.mp4,4.007
Gray and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1001.mp4,2.009
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1002.mp4,4.017
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1003.mp4,2.019
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1004.mp4,2.022
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1005.mp4,2.004
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1006.mp4,2.007
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1007.mp4,2.011
Gray and Malibu,temp_clips\TRUMAN SHOW HR\Scene-1008.mp4,2.014
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1009.mp4,2.017
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-101.mp4,2.022
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1010.mp4,2.021
Gray and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1011.mp4,2.003
Gray and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1012.mp4,2.006
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1013.mp4,2.009
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1014.mp4,2.013
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1015.mp4,2.016
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1016.mp4,2.019
Teal and Red,temp_clips\TRUMAN SHOW HR\Scene-1017.mp4,6.012
DarkRed and Gray,temp_clips\TRUMAN SHOW HR\Scene-1018.mp4,2.011
LightCoral and Black,temp_clips\TRUMAN SHOW HR\Scene-1019.mp4,2.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-102.mp4,2.004
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-1020.mp4,4.023
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1021.mp4,6.014
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1022.mp4,4.019
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1023.mp4,2.02
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1024.mp4,2.002
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1025.mp4,2.005
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1026.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1027.mp4,2.012
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1028.mp4,2.015
Black,temp_clips\TRUMAN SHOW HR\Scene-1029.mp4,2.019
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-103.mp4,2.007
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1030.mp4,2.022
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1031.mp4,2.004
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1032.mp4,2.007
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1033.mp4,2.011
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1034.mp4,2.014
Olive and Navy,temp_clips\TRUMAN SHOW HR\Scene-1035.mp4,2.017
Gray and Malibu,temp_clips\TRUMAN SHOW HR\Scene-1036.mp4,2.021
Gray and Malibu,temp_clips\TRUMAN SHOW HR\Scene-1037.mp4,2.003
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-1038.mp4,2.006
DarkRed and Anakiwa,temp_clips\TRUMAN SHOW HR\Scene-1039.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-104.mp4,2.01
DarkRed and Anakiwa,temp_clips\TRUMAN SHOW HR\Scene-1040.mp4,2.013
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1041.mp4,2.016
Gray and Malibu,temp_clips\TRUMAN SHOW HR\Scene-1042.mp4,2.019
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1043.mp4,2.023
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1044.mp4,2.005
Navy and Gray,temp_clips\TRUMAN SHOW HR\Scene-1045.mp4,2.008
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1046.mp4,2.011
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1047.mp4,2.015
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1048.mp4,2.018
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1049.mp4,2.021
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-105.mp4,2.014
DarkRed and Green,temp_clips\TRUMAN SHOW HR\Scene-1050.mp4,2.003
Gray and Anakiwa,temp_clips\TRUMAN SHOW HR\Scene-1051.mp4,2.007
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1052.mp4,2.01
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1053.mp4,2.013
Black,temp_clips\TRUMAN SHOW HR\Scene-1054.mp4,2.017
Rose and Teal,temp_clips\TRUMAN SHOW HR\Scene-1055.mp4,2.02
Rose and Teal,temp_clips\TRUMAN SHOW HR\Scene-1056.mp4,2.002
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1057.mp4,2.005
Olive and Black,temp_clips\TRUMAN SHOW HR\Scene-1058.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1059.mp4,2.012
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-106.mp4,4.022
Rose and Teal,temp_clips\TRUMAN SHOW HR\Scene-1060.mp4,2.015
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1061.mp4,2.019
DarkRed and Green,temp_clips\TRUMAN SHOW HR\Scene-1062.mp4,2.022
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1063.mp4,2.004
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1064.mp4,2.007
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1065.mp4,2.011
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1066.mp4,2.014
DarkRed and Gray,temp_clips\TRUMAN SHOW HR\Scene-1067.mp4,2.017
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1068.mp4,2.021
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1069.mp4,2.003
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-107.mp4,4.008
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1070.mp4,2.006
Black and Dolly,temp_clips\TRUMAN SHOW HR\Scene-1071.mp4,2.009
Black,temp_clips\TRUMAN SHOW HR\Scene-1072.mp4,2.013
Black,temp_clips\TRUMAN SHOW HR\Scene-1073.mp4,2.016
Black,temp_clips\TRUMAN SHOW HR\Scene-1074.mp4,2.019
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1075.mp4,2.023
Black and Dolly,temp_clips\TRUMAN SHOW HR\Scene-1076.mp4,2.005
Black and Dolly,temp_clips\TRUMAN SHOW HR\Scene-1077.mp4,2.008
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1078.mp4,2.011
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1079.mp4,2.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-108.mp4,4.014
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1080.mp4,2.018
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1081.mp4,2.021
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1082.mp4,2.003
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1083.mp4,2.007
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1084.mp4,2.01
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1085.mp4,2.013
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1086.mp4,2.017
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1087.mp4,2.02
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1088.mp4,2.002
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1089.mp4,2.005
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-109.mp4,2.016
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-1090.mp4,2.009
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-1091.mp4,2.012
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-1092.mp4,2.015
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1093.mp4,2.019
Teal and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1094.mp4,2.022
Chartreuse and Malibu,temp_clips\TRUMAN SHOW HR\Scene-1095.mp4,2.004
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1096.mp4,2.007
Black,temp_clips\TRUMAN SHOW HR\Scene-1097.mp4,2.011
Black,temp_clips\TRUMAN SHOW HR\Scene-1098.mp4,2.014
DarkRed and Olive,temp_clips\TRUMAN SHOW HR\Scene-1099.mp4,2.017
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-110.mp4,2.019
DarkRed and Olive,temp_clips\TRUMAN SHOW HR\Scene-1100.mp4,2.021
DarkRed and Olive,temp_clips\TRUMAN SHOW HR\Scene-1101.mp4,2.003
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1102.mp4,2.006
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1103.mp4,2.009
Rose and Green,temp_clips\TRUMAN SHOW HR\Scene-1104.mp4,2.013
Rose and Green,temp_clips\TRUMAN SHOW HR\Scene-1105.mp4,2.016
Rose and Green,temp_clips\TRUMAN SHOW HR\Scene-1106.mp4,2.019
Rose and Green,temp_clips\TRUMAN SHOW HR\Scene-1107.mp4,2.023
Rose and Green,temp_clips\TRUMAN SHOW HR\Scene-1108.mp4,2.005
LightCoral and Dolly,temp_clips\TRUMAN SHOW HR\Scene-1109.mp4,2.008
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-111.mp4,2.022
LightCoral and MintGreen,temp_clips\TRUMAN SHOW HR\Scene-1110.mp4,2.011
LightCoral and Gray,temp_clips\TRUMAN SHOW HR\Scene-1111.mp4,2.015
LightCoral and Gray,temp_clips\TRUMAN SHOW HR\Scene-1112.mp4,2.018
LightCoral and Gray,temp_clips\TRUMAN SHOW HR\Scene-1113.mp4,2.021
LightCoral and MintGreen,temp_clips\TRUMAN SHOW HR\Scene-1114.mp4,2.003
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1115.mp4,2.007
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1116.mp4,2.01
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1117.mp4,2.013
LightCoral and Gray,temp_clips\TRUMAN SHOW HR\Scene-1118.mp4,2.017
LightCoral and Anakiwa,temp_clips\TRUMAN SHOW HR\Scene-1119.mp4,2.02
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-112.mp4,2.004
LightCoral and Black,temp_clips\TRUMAN SHOW HR\Scene-1120.mp4,2.002
LightCoral and Black,temp_clips\TRUMAN SHOW HR\Scene-1121.mp4,28.032
LightCoral and Anakiwa,temp_clips\TRUMAN SHOW HR\Scene-1122.mp4,6.02
LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1123.mp4,2.019
LightCoral and Black,temp_clips\TRUMAN SHOW HR\Scene-1124.mp4,4.007
Gray and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1125.mp4,50.051
LightCoral and MintGreen,temp_clips\TRUMAN SHOW HR\Scene-1126.mp4,6.017
Rose and Yellow,temp_clips\TRUMAN SHOW HR\Scene-1127.mp4,8.011
LightCoral and Yellow,temp_clips\TRUMAN SHOW HR\Scene-1128.mp4,8.024
LightCoral and Gray,temp_clips\TRUMAN SHOW HR\Scene-1129.mp4,6.011
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-113.mp4,2.008
LightCoral and Chartreuse,temp_clips\TRUMAN SHOW HR\Scene-1130.mp4,10.01
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1131.mp4,2.005
LightCoral and MintGreen,temp_clips\TRUMAN SHOW HR\Scene-1132.mp4,2.009
Teal and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1133.mp4,2.012
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-1134.mp4,2.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1135.mp4,6.008
Black and Red,temp_clips\TRUMAN SHOW HR\Scene-1136.mp4,6.018
DarkRed and Black,temp_clips\TRUMAN SHOW HR\Scene-1137.mp4,2.017
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1138.mp4,2.021
Gray,temp_clips\TRUMAN SHOW HR\Scene-1139.mp4,4.008
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-114.mp4,2.011
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1140.mp4,6.02
LightCoral,temp_clips\TRUMAN SHOW HR\Scene-1141.mp4,6.009
DarkRed and Black,temp_clips\TRUMAN SHOW HR\Scene-1142.mp4,6.019
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1143.mp4,2.018
DarkRed and Black,temp_clips\TRUMAN SHOW HR\Scene-1144.mp4,8.016
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1145.mp4,4.019
DarkRed and Black,temp_clips\TRUMAN SHOW HR\Scene-1146.mp4,2.02
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1147.mp4,6.013
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1148.mp4,8.028
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1149.mp4,6.015
Navy and Gray,temp_clips\TRUMAN SHOW HR\Scene-115.mp4,6.025
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1150.mp4,2.014
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1151.mp4,4.023
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1152.mp4,2.003
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1153.mp4,2.006
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1154.mp4,4.015
Olive and Navy,temp_clips\TRUMAN SHOW HR\Scene-1155.mp4,4.021
DarkRed and Navy,temp_clips\TRUMAN SHOW HR\Scene-1156.mp4,4.007
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1157.mp4,14.019
Black,temp_clips\TRUMAN SHOW HR\Scene-1158.mp4,10.01
Navy and Black,temp_clips\TRUMAN SHOW HR\Scene-1159.mp4,2.005
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-116.mp4,2.003
Navy and Black,temp_clips\TRUMAN SHOW HR\Scene-1160.mp4,8.025
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1161.mp4,6.011
Navy and Black,temp_clips\TRUMAN SHOW HR\Scene-1162.mp4,2.011
DarkRed and Black,temp_clips\TRUMAN SHOW HR\Scene-1163.mp4,4.019
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1164.mp4,2.021
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1165.mp4,2.003
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1166.mp4,2.006
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1167.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1168.mp4,2.013
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1169.mp4,2.016
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-117.mp4,2.006
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1170.mp4,2.019
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1171.mp4,2.023
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1172.mp4,2.005
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1173.mp4,2.008
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1174.mp4,2.011
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1175.mp4,2.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1176.mp4,2.018
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1177.mp4,2.021
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1178.mp4,2.003
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1179.mp4,10.028
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-118.mp4,4.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1180.mp4,2.002
Olive and Navy,temp_clips\TRUMAN SHOW HR\Scene-1181.mp4,2.005
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1182.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1183.mp4,10.012
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1184.mp4,4.013
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1185.mp4,2.014
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1186.mp4,4.023
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1187.mp4,4.008
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1188.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1189.mp4,2.013
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-119.mp4,6.027
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-1190.mp4,2.016
Black and Teal,temp_clips\TRUMAN SHOW HR\Scene-1191.mp4,2.019
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1192.mp4,2.023
Navy and Black,temp_clips\TRUMAN SHOW HR\Scene-1193.mp4,2.005
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-1194.mp4,2.008
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-1195.mp4,2.011
Black and Green,temp_clips\TRUMAN SHOW HR\Scene-1196.mp4,2.015
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1197.mp4,2.018
DarkRed and Black,temp_clips\TRUMAN SHOW HR\Scene-1198.mp4,2.021
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1199.mp4,2.003
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-120.mp4,2.005
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1200.mp4,2.007
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-1201.mp4,2.01
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1202.mp4,2.013
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1203.mp4,2.017
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-1204.mp4,0.501
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-121.mp4,4.014
Black and Malibu,temp_clips\TRUMAN SHOW HR\Scene-122.mp4,12.02
Black,temp_clips\TRUMAN SHOW HR\Scene-123.mp4,2.014
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-124.mp4,8.012
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-125.mp4,2.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-126.mp4,2.012
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-127.mp4,2.016
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-128.mp4,2.019
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-129.mp4,2.022
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-130.mp4,6.015
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-131.mp4,2.014
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-132.mp4,2.018
