fullpath,length,objects
temp_clips\2001_A_SPACE_ODYSSEY\Scene-043.mp4,1.52,"['bear', 'bear', 'bear', 'bear', 'bear', 'person', 'bear', 'person', 'person', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-044.mp4,9.982,"['cow', 'person', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-045.mp4,5.517,"['bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-046.mp4,6.775,"['bear', 'bear', 'bear', 'dog', 'bear', 'dog', 'person', 'person', 'cow']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-047.mp4,2.215,"['bear', 'bear', 'bear', 'bear', 'bear', 'cow']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-048.mp4,10.011,"['bear', 'bear', 'bear', 'bear', 'person', 'bear', 'person', 'person', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-049.mp4,5.355,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-050.mp4,4.965,"['dog', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-051.mp4,10.029,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-052.mp4,7.016,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-053.mp4,7.647,['refrigerator']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-054.mp4,3.256,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-055.mp4,5.977,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-056.mp4,10.018,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-057.mp4,3.357,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-058.mp4,9.279,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-059.mp4,7.636,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-060.mp4,10.03,"['bear', 'sheep', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-061.mp4,2.857,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-062.mp4,4.97,['teddy bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-063.mp4,5.383,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-064.mp4,20.994,"['sheep', 'sheep', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-065.mp4,8.847,['bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-066.mp4,4.272,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-067.mp4,3.132,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-068.mp4,6.318,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-069.mp4,35.22,"['bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-070.mp4,16.403,"['bear', 'cow']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-071.mp4,42.379,"['bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-072.mp4,65.198,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-073.mp4,6.387,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-074.mp4,5.68,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-075.mp4,4.595,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-076.mp4,5.511,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-077.mp4,20.037,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-078.mp4,6.524,['bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-079.mp4,2.13,['stop sign']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-080.mp4,58.904,['bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-081.mp4,2.379,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-082.mp4,14.743,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-083.mp4,1.087,"['cow', 'horse']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-084.mp4,2.179,['bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-085.mp4,3.893,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-086.mp4,2.382,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-087.mp4,1.605,"['bird', 'bird']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-088.mp4,1.94,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-089.mp4,1.727,['cat']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-090.mp4,2.684,"['bed', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-091.mp4,5.263,"['bear', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-092.mp4,10.012,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-093.mp4,10.029,['bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-094.mp4,9.811,['bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-095.mp4,5.386,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-096.mp4,6.726,"['bear', 'bear', 'sheep', 'bear', 'bear', 'bear', 'dog', 'sheep', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-097.mp4,5.558,"['bear', 'bird']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-098.mp4,4.767,"['bear', 'bear', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-099.mp4,0.973,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-100.mp4,1.229,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1000.mp4,1.722,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1001.mp4,1.313,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1002.mp4,1.257,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1003.mp4,1.009,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1004.mp4,1.587,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1005.mp4,1.516,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1006.mp4,2.254,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1007.mp4,1.133,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1008.mp4,10.012,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1009.mp4,9.986,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-101.mp4,9.556,"['dog', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1010.mp4,9.768,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1011.mp4,9.48,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1012.mp4,5.047,['umbrella']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1013.mp4,1.43,['teddy bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1014.mp4,1.504,['teddy bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1015.mp4,2.264,['teddy bear']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1016.mp4,10.018,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1017.mp4,10.013,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1018.mp4,8.814,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1019.mp4,6.818,['bed']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-102.mp4,5.232,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1020.mp4,8.148,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1021.mp4,6.266,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1022.mp4,5.726,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1023.mp4,7.692,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1024.mp4,7.357,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1025.mp4,3.13,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1026.mp4,1.176,['banana']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1027.mp4,1.096,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1028.mp4,3.638,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1029.mp4,9.972,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-103.mp4,5.65,['cat']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1030.mp4,5.273,['diningtable']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1031.mp4,3.922,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1032.mp4,7.767,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1033.mp4,8.051,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1034.mp4,7.192,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1035.mp4,1.468,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1036.mp4,9.971,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1037.mp4,6.36,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1038.mp4,2.474,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1039.mp4,6.733,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-104.mp4,5.971,"['bear', 'person', 'person', 'person', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1040.mp4,3.218,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1041.mp4,8.817,"['cake', 'diningtable']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1042.mp4,6.651,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1043.mp4,9.983,['banana']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1044.mp4,1.102,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1045.mp4,1.127,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1046.mp4,1.217,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1047.mp4,1.01,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1048.mp4,1.097,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1049.mp4,1.271,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-105.mp4,4.103,"['bear', 'bear', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1050.mp4,2.346,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1051.mp4,3.018,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1052.mp4,1.593,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1053.mp4,1.054,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1054.mp4,1.056,['mouse']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1055.mp4,1.55,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1056.mp4,1.521,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1057.mp4,1.556,['mouse']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1058.mp4,8.141,"['sink', 'chair', 'bottle', 'bottle']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1059.mp4,7.346,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-106.mp4,6.138,"['bear', 'person', 'bird']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1060.mp4,6.341,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1061.mp4,9.943,"['vase', 'chair', 'chair', 'bed', 'chair', 'book']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1062.mp4,8.017,"['clock', 'chair', 'chair', 'sink', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1063.mp4,10.014,"['clock', 'chair', 'chair', 'chair', 'chair', 'chair', 'bed']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1064.mp4,1.263,"['clock', 'chair', 'chair', 'chair', 'chair', 'chair', 'bed']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1065.mp4,5.941,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1066.mp4,5.182,"['chair', 'person', 'bottle']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1067.mp4,6.431,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1068.mp4,5.854,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1069.mp4,10.02,"['chair', 'chair', 'parking meter']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-107.mp4,4.594,"['bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1070.mp4,10.015,"['bed', 'chair', 'chair', 'chair', 'chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1071.mp4,10.011,"['bed', 'chair', 'chair', 'person', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1072.mp4,1.921,"['sink', 'chair', 'chair', 'chair', 'chair', 'backpack', 'person', 'bed', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1073.mp4,10.028,"['person', 'bed']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1074.mp4,1.085,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1075.mp4,10.028,['sink']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1076.mp4,3.26,"['sink', 'bottle']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1077.mp4,3.463,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1078.mp4,10.028,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1079.mp4,1.597,"['person', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-108.mp4,6.513,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'person', 'person', 'bear', 'person', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1080.mp4,10.017,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1081.mp4,9.01,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1082.mp4,2.561,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1083.mp4,3.131,"['chair', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1084.mp4,2.883,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1085.mp4,8.517,"['sink', 'chair', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1086.mp4,10.014,"['chair', 'person', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1087.mp4,10.03,"['chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1088.mp4,7.146,"['chair', 'chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1089.mp4,3.811,['dog']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-109.mp4,2.587,"['bear', 'bear', 'bear', 'bird', 'person', 'person', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1090.mp4,10.021,"['chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1091.mp4,10.017,"['chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1092.mp4,10.012,"['pottedplant', 'chair', 'chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1093.mp4,10.029,"['chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1094.mp4,10.024,"['chair', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1095.mp4,10.019,"['person', 'toilet']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1096.mp4,7.967,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1097.mp4,3.05,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1098.mp4,10.012,"['sink', 'chair', 'chair', 'chair', 'chair', 'chair', 'chair', 'diningtable', 'bed', 'cell phone', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1099.mp4,10.028,"['cell phone', 'chair', 'chair', 'chair', 'chair', 'diningtable', 'person', 'bed', 'chair', 'bottle', 'bottle']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-110.mp4,4.844,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'person', 'bear', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1100.mp4,10.024,"['cell phone', 'chair', 'chair', 'chair', 'bottle', 'diningtable', 'chair', 'chair', 'bed', 'bottle', 'person', 'bottle']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1101.mp4,1.187,"['cell phone', 'chair', 'chair', 'chair', 'chair', 'diningtable', 'chair', 'person', 'bed', 'bottle', 'bottle']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1102.mp4,10.024,"['cell phone', 'cell phone', 'person', 'cup', 'diningtable']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1103.mp4,10.02,"['cell phone', 'cell phone', 'person', 'chair', 'diningtable']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1104.mp4,10.015,"['cell phone', 'cell phone', 'person', 'cup', 'diningtable']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1105.mp4,3.802,"['cell phone', 'cell phone', 'person', 'cup', 'diningtable']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1106.mp4,10.012,"['vase', 'cup', 'person', 'diningtable', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1107.mp4,10.028,"['pottedplant', 'wine glass', 'person', 'chair', 'cup']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1108.mp4,3.816,"['diningtable', 'wine glass', 'cup', 'person', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1109.mp4,10.026,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-111.mp4,5.339,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1110.mp4,1.552,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1111.mp4,10.014,"['teddy bear', 'bed']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1112.mp4,10.031,"['bed', 'teddy bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1113.mp4,10.026,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1114.mp4,1.894,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1115.mp4,8.401,"['sofa', 'bed', 'chair', 'chair', 'chair', 'bowl', 'bench', 'person', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1116.mp4,10.022,"['bed', 'chair', 'chair', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1117.mp4,6.391,"['pottedplant', 'chair', 'chair', 'chair', 'bowl']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1118.mp4,9.972,['cat']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1119.mp4,4.186,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-112.mp4,10.027,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'person', 'person', 'person']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1120.mp4,1.935,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1121.mp4,7.973,"['chair', 'chair']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1122.mp4,1.266,['refrigerator']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1123.mp4,10.02,"['frisbee', 'sports ball']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1124.mp4,10.015,['cake']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1125.mp4,10.011,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1126.mp4,10.027,['orange']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1127.mp4,9.98,['diningtable']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1128.mp4,4.768,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1129.mp4,5.348,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-113.mp4,3.963,"['bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1130.mp4,3.763,['apple']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1131.mp4,4.425,['apple']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1132.mp4,1.007,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1133.mp4,5.019,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1134.mp4,6.841,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1135.mp4,7.51,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1136.mp4,6.105,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1137.mp4,5.647,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1138.mp4,6.053,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1139.mp4,5.638,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-114.mp4,4.673,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1140.mp4,6.642,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1141.mp4,10.016,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1142.mp4,10.011,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1143.mp4,3.564,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1144.mp4,10.023,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1145.mp4,6.307,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1146.mp4,7.049,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1147.mp4,5.633,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1148.mp4,6.018,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1149.mp4,5.729,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-115.mp4,8.024,"['bear', 'bear', 'bear', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1150.mp4,5.818,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1151.mp4,7.722,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1152.mp4,5.68,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1153.mp4,5.725,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1154.mp4,5.643,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1155.mp4,6.348,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1156.mp4,6.686,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1157.mp4,8.14,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1158.mp4,7.175,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-1159.mp4,6.36,[]
