color,fullpath,length
Malibu and Yellow,temp_clips\Congratulations\Scene-057.mp4,0.892
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-058.mp4,1.433
Black and DarkRed,temp_clips\Congratulations\Scene-059.mp4,3.686
White,temp_clips\Congratulations\Scene-060.mp4,0.135
Anakiwa,temp_clips\Congratulations\Scene-061.mp4,2.262
White and DarkRed,temp_clips\Congratulations\Scene-062.mp4,1.313
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-063.mp4,1.298
Red and Anakiwa,temp_clips\Congratulations\Scene-064.mp4,1.214
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-065.mp4,2.792
Black and DarkRed,temp_clips\Congratulations\Scene-066.mp4,1.417
Black and Malibu,temp_clips\Congratulations\Scene-067.mp4,1.625
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-068.mp4,1.556
Anakiwa and Pink,temp_clips\Congratulations\Scene-069.mp4,1.686
White and DarkRed,temp_clips\Congratulations\Scene-070.mp4,0.299
Malibu and Red,temp_clips\Congratulations\Scene-071.mp4,1.795
Gray,temp_clips\Congratulations\Scene-072.mp4,1.628
Black and DarkRed,temp_clips\Congratulations\Scene-073.mp4,1.559
Black and White,temp_clips\Congratulations\Scene-074.mp4,1.341
Gray,temp_clips\Congratulations\Scene-075.mp4,2.77
Black and DarkRed,temp_clips\Congratulations\Scene-076.mp4,1.228
Black and Olive,temp_clips\Congratulations\Scene-077.mp4,3.549
Black and DarkRed,temp_clips\Congratulations\Scene-078.mp4,0.75
Black and DarkRed,temp_clips\Congratulations\Scene-079.mp4,1.835
White and Black,temp_clips\Congratulations\Scene-080.mp4,1.186
Malibu,temp_clips\Congratulations\Scene-081.mp4,1.969
Gray and Olive,temp_clips\Congratulations\Scene-082.mp4,1.753
Black and DarkRed,temp_clips\Congratulations\Scene-083.mp4,1.187
Black and DarkRed,temp_clips\Congratulations\Scene-084.mp4,1.088
Black and DarkRed,temp_clips\Congratulations\Scene-085.mp4,1.189
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-086.mp4,1.253
Black and DarkRed,temp_clips\Congratulations\Scene-087.mp4,1.396
Malibu,temp_clips\Congratulations\Scene-088.mp4,1.507
Black and DarkRed,temp_clips\Congratulations\Scene-089.mp4,1.772
Black and DarkRed,temp_clips\Congratulations\Scene-090.mp4,1.137
Black and DarkRed,temp_clips\Congratulations\Scene-091.mp4,1.126
White and Black,temp_clips\Congratulations\Scene-092.mp4,1.0
Black and DarkRed,temp_clips\Congratulations\Scene-093.mp4,5.503
Black and DarkRed,temp_clips\Congratulations\Scene-094.mp4,2.511
Black and Malibu,temp_clips\Congratulations\Scene-095.mp4,1.799
Black and DarkRed,temp_clips\Congratulations\Scene-096.mp4,2.515
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-097.mp4,1.641
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-098.mp4,1.641
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-099.mp4,1.084
Black and DarkRed,temp_clips\Congratulations\Scene-100.mp4,2.81
Anakiwa and Orange,temp_clips\Congratulations\Scene-101.mp4,5.475
DarkRed and Teal,temp_clips\Congratulations\Scene-102.mp4,2.013
Black and DarkRed,temp_clips\Congratulations\Scene-103.mp4,3.125
DarkRed and Teal,temp_clips\Congratulations\Scene-104.mp4,5.503
Black and Olive,temp_clips\Congratulations\Scene-105.mp4,5.436
Black and Olive,temp_clips\Congratulations\Scene-106.mp4,3.48
Olive and Navy,temp_clips\Congratulations\Scene-107.mp4,1.856
DarkRed and Teal,temp_clips\Congratulations\Scene-108.mp4,5.34
Black and DarkRed,temp_clips\Congratulations\Scene-109.mp4,3.769
Black and Red,temp_clips\Congratulations\Scene-110.mp4,1.18
Black and Malibu,temp_clips\Congratulations\Scene-111.mp4,0.431
Black and Red,temp_clips\Congratulations\Scene-112.mp4,1.476
Black and DarkRed,temp_clips\Congratulations\Scene-113.mp4,1.551
Black and DarkRed,temp_clips\Congratulations\Scene-114.mp4,1.89
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-115.mp4,0.479
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-116.mp4,2.343
Black and Malibu,temp_clips\Congratulations\Scene-117.mp4,1.798
Malibu and Red,temp_clips\Congratulations\Scene-118.mp4,0.935
Black and Red,temp_clips\Congratulations\Scene-119.mp4,2.34
Black and DarkRed,temp_clips\Congratulations\Scene-120.mp4,1.261
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-121.mp4,0.684
Malibu and White,temp_clips\Congratulations\Scene-122.mp4,1.387
White and Blue,temp_clips\Congratulations\Scene-123.mp4,1.127
White and Blue,temp_clips\Congratulations\Scene-124.mp4,1.511
Olive,temp_clips\Congratulations\Scene-125.mp4,2.054
Black and Red,temp_clips\Congratulations\Scene-126.mp4,1.267
Malibu and DarkRed,temp_clips\Congratulations\Scene-127.mp4,2.084
Violet and Green,temp_clips\Congratulations\Scene-128.mp4,5.387
White and Dolly,temp_clips\Congratulations\Scene-129.mp4,1.893
White and Black,temp_clips\Congratulations\Scene-130.mp4,1.086
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-131.mp4,2.348
Olive,temp_clips\Congratulations\Scene-132.mp4,3.173
Black and DarkRed,temp_clips\Congratulations\Scene-133.mp4,1.167
Black and Olive,temp_clips\Congratulations\Scene-134.mp4,0.882
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-135.mp4,1.052
Black and Red,temp_clips\Congratulations\Scene-136.mp4,3.007
Anakiwa and Pink,temp_clips\Congratulations\Scene-137.mp4,5.417
Yellow and Malibu,temp_clips\Congratulations\Scene-138.mp4,2.136
